"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"95195904@OBS","https://observation.org/observation/95195904","OBS.95195904","HumanObservation","Observations","Crepis conyzifolia","species","Plantae","Asteraceae","Plantae|Asteraceae",NA,NA,1,"unknown","undetermined",10.259513855,46.9924310362,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95195904","Stichting Natuurinformatie","CC BY-NC 4.0",2020-01-29
"95195899@OBS","https://observation.org/observation/95195899","OBS.95195899","HumanObservation","Observations","Pilosella lactucella","species","Plantae","Asteraceae","Plantae|Asteraceae","Glaucous Fox-and-cubs",NA,1,"unknown","undetermined",10.259513855,46.9924310362,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95195899","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95195876@OBS","https://observation.org/observation/95195876","OBS.95195876","HumanObservation","Observations","Thesium pyrenaicum","species","Plantae","SANTALACEAE","Plantae|SANTALACEAE","Meadow Bastard Toadflax",NA,1,"unknown","undetermined",10.3281784058,46.9931335677,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95195876","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-11
"95191203@OBS","https://observation.org/observation/95191203","OBS.95191203","HumanObservation","Observations","Cnicus heterophyllus","synonym","Plantae","Asteraceae","Plantae|Asteraceae",NA,NA,1,"unknown","undetermined",10.1355743408,46.9722878713,"WGS84",NA,1000,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191203","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95191200@OBS","https://observation.org/observation/95191200","OBS.95191200","HumanObservation","Observations","Silene rupestris","species","Plantae","CARYOPHYLLACEAE","Plantae|CARYOPHYLLACEAE",NA,NA,1,"unknown","undetermined",10.1355743408,46.9722878713,"WGS84",NA,1000,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191200","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95191198@OBS","https://observation.org/observation/95191198","OBS.95191198","HumanObservation","Observations","Melampyrum sylvaticum","species","Plantae","OROBANCHACEAE","Plantae|OROBANCHACEAE","Small Cow-wheat",NA,1,"unknown","undetermined",10.1355743408,46.9722878713,"WGS84",NA,1000,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191198","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95191194@OBS","https://observation.org/observation/95191194","OBS.95191194","HumanObservation","Observations","Selaginella selaginoides","species","Plantae","SELAGINELLACEAE","Plantae|SELAGINELLACEAE","Lesser Clubmoss",NA,1,"unknown","undetermined",10.1355743408,46.9722878713,"WGS84",NA,1000,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191194","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95191175@OBS","https://observation.org/observation/95191175","OBS.95191175","HumanObservation","Observations","Saxifraga paniculata","species","Plantae","SAXIFRAGACEAE","Plantae|SAXIFRAGACEAE","Livelong Saxifrage",NA,1,"unknown","undetermined",10.3360748291,46.9898550081,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191175","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-07
"95191160@OBS","https://observation.org/observation/95191160","OBS.95191160","HumanObservation","Observations","Ligusticum mutellinoides","species","Plantae","Apiaceae","Plantae|Apiaceae","Small alpine lovage",NA,1,"unknown","undetermined",10.3360748291,46.9898550081,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191160","Stichting Natuurinformatie","CC BY-NC 4.0",2014-11-11
"95191153@OBS","https://observation.org/observation/95191153","OBS.95191153","HumanObservation","Observations","Oxytropis campestris","species","Plantae","Fabaceae","Plantae|Fabaceae","Yellow Oxytropis",NA,1,"unknown","undetermined",10.3360748291,46.9898550081,"WGS84",NA,100,"Europe","Austria","AT",NA,"Austria - Tirol",NA,NA,NA,2014-07-25,NA,NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.95191153","Stichting Natuurinformatie","CC BY-NC 4.0",2020-02-19
